                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4459,                0.72044,                 1.0125,                 0.8759,                0.64605,                0.72704,                0.39174,                 1.3788,                 0.6274,                0.96861,              0.0074347,              0.0074347,              0.0074347
                     36,                 1.4548,                0.72475,                 1.0143,                0.86271,                0.63859,                0.71883,                0.38908,                 1.3901,                0.62992,                0.97018,              0.0072973,              0.0072973,              0.0072973
                     37,                 1.4386,                0.71558,                 1.0082,                0.87571,                0.63733,                0.72492,                0.39155,                 1.3847,                0.62539,                0.96777,              0.0071576,              0.0071576,              0.0071576
                     38,                 1.4398,                0.71337,                  1.007,                0.87079,                0.65441,                0.73402,                0.40094,                 1.3708,                0.61808,                0.96606,              0.0070159,              0.0070159,              0.0070159
                     39,                   1.43,                0.71047,                 1.0085,                0.86661,                0.64866,                0.72505,                0.39615,                 1.3715,                0.61848,                0.96722,              0.0068722,              0.0068722,              0.0068722
                     40,                 1.4393,                0.71323,                 1.0103,                0.87936,                0.64574,                0.72671,                0.39583,                 1.3751,                0.61863,                 0.9669,              0.0067268,              0.0067268,              0.0067268
                     41,                 1.4425,                0.71274,                 1.0095,                0.87424,                0.64544,                0.72714,                0.39546,                 1.3793,                 0.6182,                0.96595,              0.0065796,              0.0065796,              0.0065796
                     42,                 1.4332,                0.70713,                 1.0092,                0.87028,                0.64368,                 0.7261,                0.39519,                 1.3832,                 0.6187,                0.96737,               0.006431,               0.006431,               0.006431
                     43,                 1.4214,                0.70306,                 1.0081,                0.86893,                0.64721,                0.72683,                0.39191,                 1.3779,                0.61841,                0.96483,               0.006281,               0.006281,               0.006281
                     44,                 1.4315,                0.70551,                 1.0041,                0.86476,                0.65683,                0.73088,                0.39738,                  1.373,                0.61348,                0.96486,              0.0061298,              0.0061298,              0.0061298
